Plotting labels...
[34m[1mautoanchor: [39m[22mAnalyzing anchors... anchors/target = 3.37, Best Possible Recall (BPR) = 1.0000
                 all        201        216      0.929      0.903      0.923      0.581
                 all        201        216      0.928      0.903      0.924      0.595
                 all        201        216      0.946      0.889      0.935      0.602
                 all        201        216      0.933      0.907      0.937      0.591
                 all        201        216      0.916      0.907      0.926      0.592
                 all        201        216      0.924      0.903      0.931      0.606
                 all        201        216      0.924      0.898      0.925      0.599
                 all        201        216      0.916      0.912      0.929      0.598
                 all        201        216      0.957      0.917      0.947      0.601
                 all        201        216      0.924      0.898      0.931      0.606
                 all        201        216      0.925      0.917      0.935      0.611
                 all        201        216      0.919      0.898      0.922      0.593
                 all        201        216      0.928      0.889      0.924       0.59
                 all        201        216      0.927       0.88      0.927      0.608
                 all        201        216      0.941      0.893       0.93      0.597
                 all        201        216      0.919      0.893      0.934      0.607
                 all        201        216      0.911      0.903      0.932      0.594
                 all        201        216      0.932      0.889      0.917      0.592
                 all        201        216      0.929      0.903      0.926      0.599
                 all        201        216      0.927      0.884      0.927      0.601
                 all        201        216       0.92      0.907      0.925      0.601
                 all        201        216      0.916      0.907      0.923      0.594
                 all        201        216      0.908      0.912      0.925      0.595
                 all        201        216      0.924      0.898      0.925      0.606
                 all        201        216      0.937      0.894      0.936      0.606
                 all        201        216      0.941      0.884      0.927      0.593
                 all        201        216      0.933      0.903      0.928      0.599
                 all        201        216      0.937      0.894      0.931       0.61
                 all        201        216      0.941      0.889      0.927      0.606
                 all        201        216      0.937      0.889      0.927       0.62
                 all        201        216      0.929      0.907      0.942      0.615
                 all        201        216      0.912      0.917      0.932      0.611
                 all        201        216      0.912      0.912      0.923      0.609
                 all        201        216      0.943      0.912      0.934      0.601
                 all        201        216      0.933      0.907      0.937      0.607
                 all        201        216      0.942      0.907      0.939      0.607
                 all        201        216      0.921      0.912      0.935      0.612
                 all        201        216      0.933      0.898      0.929      0.605
                 all        201        216      0.902      0.898      0.922      0.611
                 all        201        216      0.925      0.912      0.921      0.611
                 all        201        216      0.917      0.917      0.921      0.607
                 all        201        216      0.946      0.889      0.925      0.608
                 all        201        216      0.928      0.898      0.925       0.61
                 all        201        216      0.924      0.903      0.921      0.601
                 all        201        216      0.946      0.889      0.922      0.596
                 all        201        216      0.934      0.912      0.921      0.601
                 all        201        216      0.921      0.912      0.919      0.599
                 all        201        216      0.929      0.912      0.917        0.6
                 all        201        216      0.932      0.884      0.916      0.601
                 all        201        216      0.937      0.889      0.925      0.604
                 all        201        216      0.936       0.88      0.919      0.606
                 all        201        216      0.924      0.898      0.926      0.597
                 all        201        216      0.928      0.898      0.922        0.6
                 all        201        216      0.912      0.917      0.923      0.601
                 all        201        216      0.904      0.917      0.929      0.605
                 all        201        216      0.923      0.894      0.928      0.609
                 all        201        216      0.924      0.907      0.923      0.608
                 all        201        216      0.919      0.893      0.911      0.607
                 all        201        216      0.919      0.898      0.915      0.608
                 all        201        216      0.935       0.87      0.918      0.604
                 all        201        216      0.937      0.889       0.92      0.609
                 all        201        216      0.943      0.917      0.934      0.613
                 all        201        216      0.951      0.903      0.929      0.603
                 all        201        216      0.933      0.907      0.925      0.608
                 all        201        216      0.933      0.903      0.924      0.607
                 all        201        216      0.955      0.893       0.93      0.611
                 all        201        216      0.946      0.907      0.933      0.613
                 all        201        216      0.956      0.898      0.931      0.615
                 all        201        216      0.929      0.903      0.924       0.61
                 all        201        216      0.929      0.903      0.924      0.611
                 all        201        216      0.945      0.884      0.924      0.601
                 all        201        216      0.941      0.889      0.925      0.607
                 all        201        216      0.937      0.898       0.92      0.606
                 all        201        216      0.941       0.88      0.922      0.607
                 all        201        216      0.941      0.889       0.92      0.613
                 all        201        216      0.955       0.88      0.923      0.615
                 all        201        216       0.92      0.912      0.919      0.612
                 all        201        216       0.95      0.889      0.923      0.613
                 all        201        216      0.913      0.926       0.93      0.615
                 all        201        216      0.916      0.912      0.926      0.612
                 all        201        216      0.941      0.889      0.927      0.605
                 all        201        216      0.934      0.912      0.929      0.601
                 all        201        216      0.937      0.898      0.917      0.599
                 all        201        216      0.929      0.912       0.92      0.603
                 all        201        216      0.925      0.912       0.92      0.603
                 all        201        216      0.921      0.917      0.918      0.604
                 all        201        216       0.92      0.912      0.918      0.601
                 all        201        216      0.926      0.921      0.924      0.605
                 all        201        216      0.926      0.926      0.924      0.609
                 all        201        216      0.926      0.926      0.929      0.604
                 all        201        216      0.933      0.903      0.925      0.608
                 all        201        216      0.933      0.907      0.929      0.606
                 all        201        216      0.933      0.907      0.926      0.598
                 all        201        216      0.929      0.907      0.925      0.597
                 all        201        216      0.917      0.917       0.93      0.599
                 all        201        216      0.911      0.903      0.922      0.602
                 all        201        216       0.92      0.907      0.922      0.601
                 all        201        216      0.942      0.903      0.924      0.608
                 all        201        216      0.951      0.912      0.926      0.605
                 all        201        216      0.943      0.912      0.928      0.607
                 all        201        216      0.946      0.898      0.929      0.607
                 all        201        216      0.937      0.889      0.921      0.601
                 all        201        216      0.921      0.912      0.921      0.597
                 all        201        216      0.916      0.912      0.919      0.598
                 all        201        216      0.941      0.889       0.92      0.601
                 all        201        216      0.941      0.889       0.92      0.604
                 all        201        216      0.908      0.912      0.921      0.604
                 all        201        216      0.955      0.889      0.924      0.604
                 all        201        216      0.955      0.894      0.927      0.602
                 all        201        216      0.928      0.893      0.918      0.602
                 all        201        216      0.928      0.889      0.922        0.6
                 all        201        216      0.924      0.898      0.925      0.601
                 all        201        216      0.924      0.898      0.926      0.602
                 all        201        216      0.924      0.898      0.928      0.603
                 all        201        216      0.923      0.889      0.922      0.601
                 all        201        216      0.915      0.898      0.926      0.602
                 all        201        216      0.919      0.898      0.923      0.597
                 all        201        216      0.928      0.889      0.918      0.596
                 all        201        216      0.933      0.898      0.922      0.598
                 all        201        216      0.929      0.903      0.922      0.597
                 all        201        216      0.929      0.903      0.922      0.598
                 all        201        216      0.933      0.903       0.92      0.598
                 all        201        216      0.942      0.898      0.919      0.601
                 all        201        216      0.942      0.898      0.922      0.602
                 all        201        216      0.937      0.903      0.926      0.607
                 all        201        216      0.942      0.898      0.926      0.608
                 all        201        216      0.933      0.903      0.926       0.61
                 all        201        216      0.937      0.898      0.926      0.606
                 all        201        216      0.942      0.898      0.925      0.612
                 all        201        216      0.942      0.903      0.927      0.609
                 all        201        216      0.947      0.907      0.929      0.613
                 all        201        216      0.946      0.898      0.921      0.607
                 all        201        216      0.946      0.898      0.929      0.613
                 all        201        216       0.95      0.889      0.928      0.609
                 all        201        216      0.929      0.903      0.925      0.608
                 all        201        216      0.933      0.903      0.918      0.604
                 all        201        216      0.937      0.903      0.926      0.606
                 all        201        216      0.937      0.903      0.927      0.608
                 all        201        216      0.937      0.903      0.927      0.607
                 all        201        216      0.933      0.907      0.924      0.608
                 all        201        216      0.929      0.912      0.924       0.61
                 all        201        216      0.929      0.912      0.923      0.608
                 all        201        216      0.934      0.917      0.929      0.604
                 all        201        216      0.947      0.903       0.93      0.604
                 all        201        216      0.946      0.898      0.935       0.61
                 all        201        216      0.925      0.917      0.935      0.612
                 all        201        216      0.925      0.917      0.936      0.612
                 all        201        216      0.925      0.917      0.935       0.61
                 all        201        216       0.93      0.917      0.933      0.611
                 all        201        216      0.969      0.879      0.935      0.611
                 all        201        216      0.925      0.917      0.938      0.613
                 all        201        216      0.964      0.879      0.933      0.611
                 all        201        216       0.95      0.884      0.932      0.613
                 all        201        216      0.946      0.889      0.932      0.612
                 all        201        216      0.932      0.884      0.925      0.612
                 all        201        216      0.932      0.884      0.924      0.612
                 all        201        216      0.932      0.884      0.925       0.61
                 all        201        216      0.932      0.884      0.922       0.61
                 all        201        216      0.927       0.88      0.916       0.61
                 all        201        216      0.927       0.88      0.914       0.61
                 all        201        216      0.911      0.898      0.914      0.608
                 all        201        216      0.931       0.88      0.914      0.609
                 all        201        216      0.936      0.879      0.914      0.609
                 all        201        216      0.941      0.884      0.917      0.607
                 all        201        216      0.941      0.884      0.917      0.607
                 all        201        216      0.941      0.884      0.918      0.606
                 all        201        216      0.936      0.884      0.918      0.605
                 all        201        216      0.919      0.898      0.918      0.605
                 all        201        216      0.919      0.898      0.918      0.604
                 all        201        216      0.915      0.898      0.918      0.603
                 all        201        216      0.936      0.879      0.918      0.604
                 all        201        216      0.923      0.893      0.916      0.604
                 all        201        216      0.915      0.898      0.915      0.604
                 all        201        216      0.915      0.898      0.912      0.604
                 all        201        216      0.919      0.898      0.915      0.604
                 all        201        216      0.924      0.898      0.915      0.602
                 all        201        216      0.924      0.898      0.916      0.603
                 all        201        216      0.924      0.898      0.916      0.603
                 all        201        216      0.915      0.898      0.911      0.604
                 all        201        216       0.92      0.903      0.916      0.606
                 all        201        216       0.92      0.903      0.915      0.605
                 all        201        216      0.924      0.903      0.915      0.606
                 all        201        216      0.924      0.903      0.915      0.606
                 all        201        216      0.924      0.903      0.914      0.604
                 all        201        216      0.924      0.903      0.914      0.604
                 all        201        216      0.924      0.903      0.914      0.603
                 all        201        216      0.915      0.898      0.912      0.605
Optimizer stripped from runs/train/exp13/weights/last.pt, 14.4MB
Optimizer stripped from runs/train/exp13/weights/best.pt, 14.4MB
Overriding model.yaml nc=80 with nc=1
                 from  n    params  module                                  arguments
  0                -1  1      3520  models.common.Focus                     [3, 32, 3]
  1                -1  1     18560  models.common.Conv                      [32, 64, 3, 2]
  2                -1  1     18816  models.common.C3                        [64, 64, 1]
  3                -1  1     73984  models.common.Conv                      [64, 128, 3, 2]
  4                -1  1    156928  models.common.C3                        [128, 128, 3]
  5                -1  1    295424  models.common.Conv                      [128, 256, 3, 2]
  6                -1  1    625152  models.common.C3                        [256, 256, 3]
  7                -1  1   1180672  models.common.Conv                      [256, 512, 3, 2]
  8                -1  1    656896  models.common.SPP                       [512, 512, [5, 9, 13]]
  9                -1  1   1182720  models.common.C3                        [512, 512, 1, False]
 10                -1  1    131584  models.common.Conv                      [512, 256, 1, 1]
 11                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']
 12           [-1, 6]  1         0  models.common.Concat                    [1]
 13                -1  1    361984  models.common.C3                        [512, 256, 1, False]
 14                -1  1     33024  models.common.Conv                      [256, 128, 1, 1]
 15                -1  1         0  torch.nn.modules.upsampling.Upsample    [None, 2, 'nearest']
 16           [-1, 4]  1         0  models.common.Concat                    [1]
 17                -1  1     90880  models.common.C3                        [256, 128, 1, False]
 18                -1  1    147712  models.common.Conv                      [128, 128, 3, 2]
 19          [-1, 14]  1         0  models.common.Concat                    [1]
 20                -1  1    296448  models.common.C3                        [256, 256, 1, False]
 21                -1  1    590336  models.common.Conv                      [256, 256, 3, 2]
 22          [-1, 10]  1         0  models.common.Concat                    [1]
 23                -1  1   1182720  models.common.C3                        [512, 512, 1, False]
 24      [17, 20, 23]  1     16182  models.yolo.Detect                      [1, [[10, 13, 16, 30, 33, 23], [30, 61, 62, 45, 59, 119], [116, 90, 156, 198, 373, 326]], [128, 256, 512]]
/home/pongsakorn/pytorch1.6/lib/python3.6/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Model Summary: 283 layers, 7063542 parameters, 7063542 gradients, 16.4 GFLOPs
Transferred 356/362 items from yolov5s.pt
Scaled weight_decay = 0.0005
Optimizer groups: 62 .bias, 62 conv.weight, 59 other
[34m[1mtrain: [39m[22mScanning 'dataset/labels/train.cache' images and labels... 2799 found, 0 [34m[1mtrain: [39m[22mWARNING: Ignoring corrupted image and/or label dataset/images/train/2019.jpg: non-normalized or out of bounds coordinate labels
[34m[1mtrain: [39m[22mScanning 'dataset/labels/train.cache' images and labels... 2799 found, 0
[34m[1mval: [39m[22mScanning 'dataset/labels/val.cache' images and labels... 201 found, 0 missi[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[W pthreadpool-cpp.cc:90] Warning: Leaking Caffe2 thread-pool after fork. (function pthreadpool)
[34m[1mval: [39m[22mScanning 'dataset/labels/val.cache' images and labels... 201 found, 0 missi
Image sizes 640 train, 640 test
Using 8 dataloader workers
Logging results to runs/train/exp13
